accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
68.23,3.13,76.49,5.14,53.22,6.91,62.35,4.81,64.07,4.88,83.36,5.28,72.27,3.46,204,320,180,64,0.125,4,0.5
67.97,3.20,73.00,3.70,52.80,4.68,61.13,3.47,64.90,6.03,81.60,4.43,72.20,4.93,196,326,174,72,0.125,4,1
70.58,3.45,70.71,7.19,56.13,2.62,62.35,2.83,70.56,4.08,81.45,6.33,75.52,4.34,188,354,146,80,0.125,4,2
67.70,2.46,70.35,5.16,52.82,7.33,59.90,5.21,66.57,3.75,80.67,4.09,72.78,1.80,188,332,168,80,0.125,4,4
53.23,7.03,96.64,1.71,42.71,7.17,58.85,7.18,30.29,6.92,94.67,1.90,45.40,7.96,259,150,350,9,0.125,8,0.03125
55.58,7.57,96.35,1.38,44.10,7.87,60.04,7.63,34.27,7.11,94.60,1.81,49.84,7.65,258,169,331,10,0.125,8,0.0625
59.37,3.47,95.90,2.06,45.90,5.98,61.85,5.67,39.80,2.55,94.80,2.57,56.00,2.55,257,199,301,11,0.125,8,0.125
66.01,5.22,90.03,3.78,51.10,7.71,64.63,6.07,53.78,6.62,90.77,3.72,67.14,4.79,240,267,233,28,0.125,8,0.25
65.88,3.20,76.92,4.98,50.43,6.61,60.77,6.01,59.66,4.53,82.87,4.43,69.31,4.11,207,299,201,61,0.125,8,0.5
67.71,3.50,72.92,2.79,52.46,6.11,60.90,5.15,64.58,5.44,81.45,4.31,72.00,4.95,196,324,176,72,0.125,8,1
67.58,1.06,72.95,5.36,52.47,4.65,60.71,2.49,64.97,2.29,81.41,5.25,72.17,2.36,194,325,175,74,0.125,8,2
67.45,2.79,72.50,6.15,52.60,5.36,60.51,3.01,64.91,6.32,81.17,5.50,71.91,4.60,193,325,175,75,0.125,8,4
51.92,12.27,95.28,3.16,42.73,9.61,58.24,9.32,29.68,14.97,92.18,2.20,42.66,17.75,255,144,356,13,0.125,16,0.03125
54.92,8.68,95.59,3.37,43.83,8.12,59.57,7.66,33.58,11.32,93.79,3.24,48.19,12.80,256,166,334,12,0.125,16,0.0625
58.71,6.82,95.76,1.48,45.79,7.79,61.57,7.74,39.16,5.48,94.71,1.48,55.18,5.73,257,194,306,11,0.125,16,0.125
65.10,2.18,80.29,3.18,49.72,4.63,61.29,3.98,56.45,6.20,84.23,2.90,67.46,4.99,216,284,216,52,0.125,16,0.25
65.36,2.45,75.03,2.51,50.17,7.22,59.80,5.50,60.36,2.44,81.81,3.12,69.38,0.96,201,301,199,67,0.125,16,0.5
65.48,5.18,69.95,6.30,50.32,9.51,58.26,8.30,62.55,8.04,79.83,1.79,69.93,5.69,190,313,187,78,0.125,16,1
69.53,2.60,67.94,6.20,55.46,5.48,60.54,1.85,70.46,6.50,80.14,5.12,74.78,4.30,181,353,147,87,0.125,16,2
66.80,1.70,71.44,6.04,51.60,4.32,59.62,3.12,64.22,5.02,80.61,4.80,71.34,3.78,191,322,178,77,0.125,16,4
76.31,3.73,53.26,5.62,72.01,5.03,60.88,3.22,88.97,2.29,77.75,5.55,82.88,3.45,141,445,55,127,0.25,0.0625,0.03125
76.31,3.92,52.52,5.87,72.49,4.71,60.56,3.50,89.35,2.41,77.54,5.60,82.93,3.60,139,447,53,129,0.25,0.0625,0.0625
75.40,4.77,50.16,6.81,71.44,3.89,58.60,4.40,89.32,2.20,76.63,6.27,82.39,4.13,132,447,53,136,0.25,0.0625,0.125
74.10,4.81,36.14,7.08,78.14,3.08,48.97,6.65,94.54,1.54,73.33,5.62,82.49,3.78,96,473,27,172,0.25,0.0625,0.25
74.74,3.25,37.54,4.22,79.59,7.57,50.66,3.32,94.82,2.06,73.79,4.78,82.89,2.88,100,474,26,168,0.25,0.0625,0.5
76.17,2.67,42.94,3.29,78.88,6.88,55.45,3.55,94.05,1.15,75.39,4.34,83.61,2.47,115,470,30,153,0.25,0.0625,1
73.32,4.57,42.17,2.95,69.79,3.82,52.47,2.41,90.08,2.51,74.18,5.42,81.29,4.00,112,451,49,156,0.25,0.0625,2
69.28,2.96,39.41,5.99,58.74,5.96,46.76,4.70,85.44,1.69,72.43,5.18,78.26,2.68,105,427,73,163,0.25,0.0625,4
