accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
62.50,3.57,67.97,7.24,47.58,7.94,55.40,6.32,59.84,6.61,77.85,4.04,67.31,3.65,182,298,202,86,8,4,4
74.48,2.32,77.35,7.21,60.91,6.77,67.54,3.28,72.88,8.04,85.90,3.85,78.46,4.24,207,365,135,61,8,8,0.03125
74.23,7.05,68.67,3.26,62.78,5.82,65.53,4.40,76.79,8.46,81.35,6.19,78.97,7.29,183,387,113,85,8,8,0.0625
70.06,2.99,56.23,14.55,57.33,4.73,55.59,7.03,76.29,10.24,77.37,4.00,76.32,4.96,154,384,116,114,8,8,0.125
62.25,5.80,72.30,12.43,48.67,9.09,56.71,5.39,57.23,14.44,80.11,5.99,65.34,8.61,193,285,215,75,8,8,0.25
63.02,2.96,49.18,12.45,46.48,10.97,47.37,10.54,69.81,5.86,72.53,3.99,70.92,3.10,135,349,151,133,8,8,0.5
62.25,4.12,59.88,6.70,46.56,2.99,52.22,3.34,62.97,7.32,74.44,6.05,68.05,6.12,161,317,183,107,8,8,1
53.90,2.97,73.93,6.51,40.81,5.77,52.41,6.05,42.79,4.88,75.54,5.53,54.49,4.97,199,215,285,69,8,8,2
63.28,3.50,72.98,6.36,48.55,5.97,57.77,3.54,58.11,8.60,79.91,4.67,66.86,5.83,195,291,209,73,8,8,4
69.53,3.09,55.12,17.05,60.54,11.19,54.28,6.46,78.89,12.01,77.01,7.36,76.76,3.49,143,391,109,125,8,16,0.03125
67.97,8.36,59.24,15.87,55.59,7.73,55.87,8.94,71.55,15.68,77.12,6.55,73.25,9.78,160,362,138,108,8,16,0.0625
70.18,2.07,54.78,7.17,57.29,6.88,55.67,5.28,77.74,6.60,76.48,2.80,76.96,3.90,149,390,110,119,8,16,0.125
60.68,4.22,54.91,13.92,46.08,9.07,48.40,6.46,64.06,14.01,73.06,4.82,67.08,7.57,147,319,181,121,8,16,0.25
61.99,6.28,51.38,3.31,48.50,12.75,48.60,5.43,68.13,11.30,72.09,4.52,69.54,6.21,137,339,161,131,8,16,0.5
56.25,3.81,62.76,7.53,41.50,6.29,49.66,5.66,52.41,7.63,72.51,5.96,60.53,6.07,169,263,237,99,8,16,1
57.16,4.39,72.52,8.04,43.07,6.73,53.78,6.46,48.00,10.54,77.02,2.56,58.56,8.14,197,242,258,71,8,16,2
63.28,5.41,71.14,4.93,48.68,6.79,57.33,4.16,58.78,11.40,78.93,4.16,66.77,8.70,191,295,205,77,8,16,4
67.32,3.35,17.54,7.28,67.76,13.78,26.12,6.58,94.62,4.27,68.12,5.63,78.94,2.66,45,472,28,223,16,0.0625,0.03125
69.80,5.61,21.39,6.07,75.77,9.96,32.75,6.40,96.20,1.90,69.38,6.28,80.46,4.17,55,481,19,213,16,0.0625,0.0625
69.81,4.97,22.10,9.94,70.39,9.71,32.52,12.85,95.67,1.60,69.63,5.88,80.42,3.49,58,478,22,210,16,0.0625,0.125
71.11,5.95,24.99,8.26,78.96,5.65,36.97,9.72,96.17,2.74,70.42,6.25,81.13,4.28,65,481,19,203,16,0.0625,0.25
71.23,5.70,29.20,5.79,73.70,11.96,41.29,5.88,94.18,2.90,71.08,6.33,80.86,4.39,76,471,29,192,16,0.0625,0.5
71.11,4.81,32.02,4.30,68.72,6.51,43.46,4.40,92.12,2.47,71.53,5.61,80.43,4.07,85,461,39,183,16,0.0625,1
71.75,4.21,44.23,4.12,64.33,6.32,52.05,2.14,86.74,3.44,74.12,5.79,79.83,3.99,117,434,66,151,16,0.0625,2
67.20,5.24,40.38,9.60,53.99,6.19,45.55,7.23,81.67,4.89,71.86,6.54,76.25,4.61,107,409,91,161,16,0.0625,4
68.36,2.82,21.42,9.48,70.90,13.70,30.57,7.95,94.27,4.92,69.09,5.76,79.41,2.26,55,470,30,213,16,0.125,0.03125
70.58,4.68,25.36,5.69,73.95,6.95,37.19,5.27,95.25,1.55,70.28,5.90,80.72,3.59,66,476,24,202,16,0.125,0.0625
72.28,4.35,30.83,9.79,76.05,7.28,42.65,10.27,94.88,1.95,71.85,5.83,81.59,3.16,81,474,26,187,16,0.125,0.125
72.28,5.36,30.75,6.24,76.12,3.05,43.41,6.16,95.00,0.53,71.70,6.25,81.57,4.03,80,475,25,188,16,0.125,0.25
72.92,4.22,41.35,7.79,68.97,5.55,51.15,5.79,90.19,2.26,73.96,5.92,81.14,3.57,109,451,49,159,16,0.125,0.5
71.36,4.42,38.52,4.54,65.47,7.24,48.22,4.27,89.18,2.46,72.85,5.70,80.08,3.83,102,446,54,166,16,0.125,1
70.05,5.80,49.51,8.32,59.32,10.40,53.24,6.95,81.71,5.52,74.85,7.15,77.90,4.93,130,408,92,138,16,0.125,2
67.84,3.61,48.96,11.17,54.83,4.77,50.65,5.65,78.40,5.29,74.12,6.75,75.88,3.57,129,392,108,139,16,0.125,4
69.80,4.99,26.30,14.45,76.08,12.74,35.36,12.73,94.55,5.24,70.46,7.52,80.25,3.17,65,471,29,203,16,0.25,0.03125
71.50,5.23,25.53,5.90,80.28,6.46,38.11,7.07,96.40,2.03,70.62,5.76,81.37,3.85,67,482,18,201,16,0.25,0.0625
71.11,4.60,25.60,5.00,76.44,4.33,37.92,4.91,95.83,0.96,70.49,5.70,81.08,3.53,67,479,21,201,16,0.25,0.125
74.23,4.36,44.07,5.43,71.72,2.96,54.27,3.45,90.48,2.75,74.92,5.50,81.88,3.85,117,453,47,151,16,0.25,0.25
73.05,3.48,50.69,6.68,64.67,4.52,56.41,3.70,85.39,1.95,76.11,5.79,80.36,3.29,134,427,73,134,16,0.25,0.5
72.40,2.27,47.82,3.34,64.32,8.05,54.43,2.63,85.62,3.67,75.28,4.28,80.01,2.70,128,428,72,140,16,0.25,1
68.36,3.60,55.28,5.08,55.01,8.30,54.63,5.05,75.75,4.54,75.81,5.53,75.60,3.40,147,378,122,121,16,0.25,2
66.54,4.06,55.29,10.53,52.26,4.46,52.94,4.33,72.90,6.38,75.20,7.12,73.69,4.56,146,365,135,122,16,0.25,4
73.31,4.08,37.66,13.49,75.53,8.05,48.18,9.63,93.41,3.53,73.52,7.04,81.94,2.91,97,466,34,171,16,0.5,0.03125
74.10,3.58,36.89,6.12,78.05,6.54,49.45,4.30,94.21,2.59,73.49,5.16,82.44,3.06,98,471,29,170,16,0.5,0.0625
76.05,4.42,46.25,7.62,76.73,4.23,57.14,4.86,92.64,1.24,75.97,6.30,83.32,3.54,121,463,37,147,16,0.5,0.125
74.75,4.95,56.12,7.66,67.28,4.38,60.67,4.28,84.74,5.38,77.96,5.93,81.10,4.83,149,425,75,119,16,0.5,0.25
73.19,3.70,64.96,6.46,61.00,3.99,62.63,2.84,77.90,3.18,80.12,5.78,78.91,3.81,172,390,110,96,16,0.5,0.5
69.53,2.13,50.18,4.90,56.67,9.53,53.07,6.82,79.67,2.62,75.02,3.25,77.22,2.05,136,398,102,132,16,0.5,1
66.41,3.48,60.89,4.27,51.98,7.82,55.56,4.92,69.79,4.84,76.73,5.37,72.89,3.33,162,348,152,106,16,0.5,2
65.37,4.04,62.04,12.50,50.97,5.58,54.88,3.94,67.52,9.37,77.04,7.68,71.29,5.58,164,338,162,104,16,0.5,4
75.26,2.67,54.35,13.53,70.48,7.50,59.50,5.83,87.38,5.07,77.97,7.01,82.03,2.50,142,436,64,126,16,1,0.03125
76.83,4.18,53.44,6.89,73.35,1.46,61.52,4.46,89.44,2.90,77.94,5.39,83.22,3.81,142,448,52,126,16,1,0.0625
75.01,2.89,58.79,9.11,67.07,6.53,61.71,2.26,84.58,3.96,78.95,6.51,81.39,2.71,154,422,78,114,16,1,0.125
71.24,6.02,64.84,7.02,59.03,6.61,61.18,2.70,74.63,9.11,79.25,6.59,76.66,6.86,172,375,125,96,16,1,0.25
68.11,3.09,68.64,7.40,53.44,3.84,59.69,1.89,68.38,2.40,79.73,6.97,73.49,3.57,181,342,158,87,16,1,0.5
66.93,4.79,52.92,10.63,53.10,12.62,52.22,10.03,74.54,6.97,75.07,4.68,74.48,3.43,143,371,129,125,16,1,1
65.11,2.00,68.19,7.03,49.90,6.22,57.21,5.13,63.67,3.43,78.87,5.21,70.28,2.13,182,318,182,86,16,1,2
64.19,3.12,68.26,8.76,49.14,7.41,56.60,6.06,62.07,6.70,78.89,5.61,69.05,3.75,183,310,190,85,16,1,4
72.13,4.63,66.74,14.73,62.39,11.10,62.00,3.02,76.76,12.60,81.46,7.93,77.70,5.23,174,380,120,94,16,2,0.03125
75.92,4.64,65.53,7.29,66.08,3.20,65.49,3.30,81.48,5.90,81.08,5.56,81.18,4.98,174,409,91,94,16,2,0.0625
71.88,3.92,70.46,14.85,59.57,7.76,62.93,4.39,74.27,7.80,82.32,9.33,77.29,3.56,183,369,131,85,16,2,0.125
69.81,5.52,75.16,12.48,56.05,5.65,63.19,2.53,67.35,10.71,82.90,8.17,73.75,7.41,198,338,162,70,16,2,0.25
63.80,2.35,73.20,5.41,48.74,3.88,58.20,1.58,59.11,3.01,79.91,6.69,67.85,3.69,194,296,204,74,16,2,0.5
63.93,5.36,54.52,10.50,48.33,8.61,50.79,8.63,69.01,5.45,74.00,6.89,71.22,4.92,146,345,155,122,16,2,1
63.27,4.14,68.47,6.75,48.77,7.40,56.21,4.87,61.40,6.30,78.24,6.17,68.35,3.70,181,305,195,87,16,2,2
64.58,3.00,68.91,7.70,49.55,6.20,57.18,4.26,62.09,8.52,79.14,4.73,69.08,5.50,185,311,189,83,16,2,4
65.99,12.84,77.99,17.86,55.40,13.18,61.59,8.77,61.11,23.55,86.98,8.78,67.27,17.61,207,300,200,61,16,4,0.03125
72.14,2.03,78.60,10.82,57.80,5.31,65.80,2.74,68.54,9.29,86.14,5.42,75.72,4.95,210,344,156,58,16,4,0.0625
71.09,5.37,79.73,10.26,57.43,9.12,65.53,5.31,67.81,9.73,86.15,7.15,75.00,5.40,210,336,164,58,16,4,0.125
64.33,5.15,73.11,3.20,49.65,6.67,58.73,4.07,59.28,10.54,79.94,5.08,67.71,8.20,196,298,202,72,16,4,0.25
59.64,2.67,61.62,8.20,44.19,4.21,51.07,4.19,58.99,1.10,74.05,7.43,65.47,2.92,163,295,205,105,16,4,0.5
62.63,1.21,59.45,7.31,46.74,6.74,52.12,6.16,63.90,4.56,74.90,3.68,68.82,3.03,161,320,180,107,16,4,1
63.16,4.02,69.42,6.68,47.90,6.86,56.43,6.44,59.76,4.16,78.41,6.18,67.74,4.34,186,299,201,82,16,4,2
62.50,3.57,67.97,7.24,47.58,7.94,55.40,6.32,59.84,6.61,77.85,4.04,67.31,3.65,182,298,202,86,16,4,4
59.49,17.06,80.74,14.53,50.78,14.00,59.28,8.67,49.36,30.70,84.09,9.42,55.05,27.79,214,243,257,54,16,8,0.03125
69.67,5.32,74.98,6.54,55.25,4.04,63.25,1.51,66.46,10.58,82.64,5.55,73.30,8.10,200,335,165,68,16,8,0.0625
68.36,4.77,72.56,10.43,54.56,10.00,61.03,6.99,66.56,10.29,82.35,4.56,72.90,4.86,194,331,169,74,16,8,0.125
59.52,7.10,67.75,13.02,47.17,10.32,53.45,3.10,55.22,16.69,75.99,8.21,62.65,10.20,180,277,223,88,16,8,0.25
55.20,3.87,59.54,14.69,39.49,8.48,47.24,10.14,51.63,9.14,71.37,4.71,59.46,6.60,164,260,240,104,16,8,0.5
61.46,4.39,55.61,10.24,45.25,10.70,49.75,10.42,63.70,6.41,73.28,2.57,68.06,4.59,153,319,181,115,16,8,1
61.32,3.82,77.07,2.36,46.76,6.95,57.88,6.02,52.86,5.67,81.14,2.61,63.82,4.28,207,264,236,61,16,8,2
63.28,3.50,72.98,6.36,48.55,5.97,57.77,3.54,58.11,8.60,79.91,4.67,66.86,5.83,195,291,209,73,16,8,4
59.61,16.32,63.65,20.88,51.50,13.54,52.23,8.29,60.26,30.08,75.81,5.66,60.47,26.83,165,293,207,103,16,16,0.03125
65.10,10.32,71.35,19.20,52.81,8.69,58.13,8.73,60.99,21.46,80.58,9.02,67.11,14.79,191,309,191,77,16,16,0.0625
64.44,11.30,67.94,8.26,53.75,14.97,57.65,8.38,64.11,19.05,78.51,3.51,68.68,12.60,180,315,185,88,16,16,0.125
58.61,8.05,53.22,12.62,43.29,7.06,46.73,6.55,61.08,13.22,70.65,9.96,64.97,10.03,142,308,192,126,16,16,0.25
51.04,4.81,64.69,7.23,38.30,5.66,47.64,4.08,43.72,10.46,69.38,6.53,52.97,8.78,173,219,281,95,16,16,0.5
57.67,3.86,59.71,10.00,41.89,9.61,49.18,10.09,55.74,3.34,72.73,2.17,63.10,2.93,164,279,221,104,16,16,1
62.23,3.31,72.12,6.14,47.47,7.52,56.75,5.96,56.83,7.49,79.42,2.98,65.90,4.35,194,284,216,74,16,16,2
63.28,5.41,71.14,4.93,48.68,6.79,57.33,4.16,58.78,11.40,78.93,4.16,66.77,8.70,191,295,205,77,16,16,4
